project_name,project_url,num_commits,project_age_days,project_created_at,num_contributors,num_pull,num_issues,num_stargazers,num_watchers,num_forks,num_subscribers,SecurityPolicy_url_endpoint,SecurityPolicy_content,SecurityPolicy_created_at,SecurityPolicy_content_category,SecurityPolicy_reporting_mechanism,Aggregate-Score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,num_bug_high,num_bug_medium,num_bug_low,num_bug_blocker,num_vulnerabilities_high,num_vulnerabilities_medium,num_vulnerabilities_low,num_vulnerabilities_blocker,num_code_smell_high,num_code_smell_medium,num_code_smell_low,num_code_smell_blocker
23andme/yamale,https://github.com/23andme/yamale,279,3928,2014-01-27,36,106,251,680,680,88,56,https://api.github.com/repos/23andme/yamale/contents/SECURITY.md,"# Reporting Security Issues

Please see [Releases](https://github.com/23andMe/Yamale/releases). We accept
vulnerability reports for the latest major version.

If you believe you have found a security issue in this project, we encourage
you to submit your finding through 23andMe's
[Bugcrowd program](https://bugcrowd.com/twentythree-and-me) so that we can
appropriately reward you. If you're unable to do so, please use
[the security report form](https://www.23andme.com/security-report/) on our
website to reach us. We will respond to your report within 3 business
days.

Please follow the rules and guidelines stated in the
[Bugcrowd program brief](https://bugcrowd.com/twentythree-and-me). You can also
find our Responsible Disclosure Policy on our
[security report page](https://www.23andme.com/security-report/).

We appreciate your efforts in helping keep our software secure!
",2021-10-11 21:39:00,['Reporting mechanism'],external,5.4,10,6,6,0,7,10,10,0,0,10,0,-1,0,8,10,-1,0,10,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,109.0,295.0,75.0,1.0
9001/copyparty,https://github.com/9001/copyparty,3321,1983,2019-05-26,10,17,109,811,811,47,8,https://api.github.com/repos/9001/copyparty/contents/SECURITY.md,"# Security Policy

if you hit something extra juicy pls let me know on either of the following
* email -- `copyparty@ocv.ze` except `ze` should be `me`
* [mastodon dm](https://layer8.space/@tripflag) -- `@tripflag@layer8.space`
* [github private vulnerability report](https://github.com/9001/copyparty/security/advisories/new), wow that form is complicated
* [twitter dm](https://twitter.com/tripflag) (if im somehow not banned yet)

no bug bounties sorry! all i can offer is greetz in the release notes
",2022-12-19 21:18:27,['Reporting mechanism'],email_advisory_external,3.8,10,0,-1,0,0,3,-1,0,0,10,10,-1,0,0,10,0,-1,10,2.0,142.0,7.0,1.0,0.0,0.0,0.0,0.0,237.0,680.0,315.0,2.0
aaugustin/websockets,https://github.com/aaugustin/websockets,1528,4231,2013-03-30,66,400,1526,5196,5196,515,106,https://api.github.com/repos/aaugustin/websockets/contents/SECURITY.md,"# Security

## Policy

Only the latest version receives security updates.

## Contact information

Please report security vulnerabilities to the
[Tidelift security team](https://tidelift.com/security).

Tidelift will coordinate the fix and disclosure.
",2021-09-09 20:01:09,"['Generic policy', 'Scope of practice', 'Reporting mechanism']",external,6.5,10,0,10,5,0,10,10,10,10,10,10,10,0,0,10,-1,0,10,0.0,8.0,0.0,4.0,3.0,0.0,0.0,0.0,20.0,26.0,9.0,1.0
adobe/ops-cli,https://github.com/adobe/ops-cli,211,2099,2019-01-30,27,130,165,192,192,38,25,https://api.github.com/repos/adobe/.github/contents/.github/SECURITY.md,"# Security Policies and Procedures

## Reporting an Issue

If you need to report a security issue please visit [Notifying Adobe of Security Issues](https://helpx.adobe.com/ca/security/alertus.html)

## Disclosure Policy

For more information on our disclosure policy please visit [Vulnerability Disclosure Program Policy](https://helpx.adobe.com/security/policy.html)
",2021-04-28 14:41:44,"['Generic policy', 'Reporting mechanism', 'User guideline']",external,5.4,10,0,3,0,5,3,10,10,0,10,0,10,0,7,10,-1,0,8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,18.0,9.0,0.0
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,10832,4046,2013-10-01,421,6347,9335,15105,15105,2015,218,https://api.github.com/repos/aio-libs/.github/contents/SECURITY.md,"# Reporting Vulnerabilities

**⚠️ Please do not file public GitHub issues for security
vulnerabilities as they are open for everyone to see! ⚠️**

We encourage responsible disclosure practices for security vulnerabilities.

If you believe you've found a security-related bug, fill out a new
vulnerability report via GitHub directly. To do so follow these instructions:
1. Click on the `Security` tab in the project repository.
2. Click the green `Report a vulnerability` button at the top right corner.
3. Fill in the form as accurately as you can, including as many details as
   possible.
4. Click the green `Submit report` button at the bottom.

## Don't have a GitHub account?

Alternatively, drop an email to our [aio-libs security] mailbox instead of
filing a ticket or posting to _any_ public groups. It is currently set up to
forward every incoming letter to [Andrew Svetlov], [Sam Bull] and [Sviatoslav
Sydorenko]. You can choose to email us directly as well. We will try to assess
the problem in timely manner and disclose it in a responsible way.

[aio-libs security]:
mailto:""'%40aio-libs'%20security%20reports""%20<security@aio-libs.org>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Andrew Svetlov]:
mailto:""Andrew%20'%40asvetlov'%20Svetlov""%20<andrew.svetlov+aio-libs-security@gmail.com>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Sam Bull]:
mailto:""Sam%20'%40dreamsorcerer'%20Bull""%20<aio-libs-sec@sambull.org>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Sviatoslav Sydorenko]:
mailto:""Sviatoslav%20'%40webknjaz'%20Sydorenko""%20<wk+aio-libs-security@sydorenko.org.ua>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
",2023-09-11 12:38:16,"['Reporting mechanism', 'Reporting mechanism']",email_advisory,6.7,10,3,10,0,1,10,10,10,10,9,10,10,0,10,10,0,0,10,2.0,38.0,4.0,4.0,3.0,0.0,0.0,1.0,532.0,824.0,1056.0,10.0
aio-libs/aiohttp-session,https://github.com/aio-libs/aiohttp-session,924,3575,2015-01-15,46,930,1027,237,237,84,14,https://api.github.com/repos/aio-libs/.github/contents/SECURITY.md,"# Reporting Vulnerabilities

**⚠️ Please do not file public GitHub issues for security
vulnerabilities as they are open for everyone to see! ⚠️**

We encourage responsible disclosure practices for security vulnerabilities.

If you believe you've found a security-related bug, fill out a new
vulnerability report via GitHub directly. To do so follow these instructions:
1. Click on the `Security` tab in the project repository.
2. Click the green `Report a vulnerability` button at the top right corner.
3. Fill in the form as accurately as you can, including as many details as
   possible.
4. Click the green `Submit report` button at the bottom.

## Don't have a GitHub account?

Alternatively, drop an email to our [aio-libs security] mailbox instead of
filing a ticket or posting to _any_ public groups. It is currently set up to
forward every incoming letter to [Andrew Svetlov], [Sam Bull] and [Sviatoslav
Sydorenko]. You can choose to email us directly as well. We will try to assess
the problem in timely manner and disclose it in a responsible way.

[aio-libs security]:
mailto:""'%40aio-libs'%20security%20reports""%20<security@aio-libs.org>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Andrew Svetlov]:
mailto:""Andrew%20'%40asvetlov'%20Svetlov""%20<andrew.svetlov+aio-libs-security@gmail.com>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Sam Bull]:
mailto:""Sam%20'%40dreamsorcerer'%20Bull""%20<aio-libs-sec@sambull.org>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Sviatoslav Sydorenko]:
mailto:""Sviatoslav%20'%40webknjaz'%20Sydorenko""%20<wk+aio-libs-security@sydorenko.org.ua>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
",2023-09-11 12:38:16,"['Reporting mechanism', 'Reporting mechanism']",email,5.9,10,3,10,0,0,10,10,10,0,9,10,-1,0,9,10,0,0,10,1.0,154.0,19.0,1.0,1.0,0.0,0.0,0.0,194.0,257.0,134.0,12.0
aio-libs/aiosmtpd,https://github.com/aio-libs/aiosmtpd,846,3029,2016-07-14,36,329,506,321,321,96,13,https://api.github.com/repos/aio-libs/aiosmtpd/contents/.github/SECURITY.rst,"=========================
Reporting Vulnerabilities
=========================

**⚠️ Please do not file public GitHub issues for security
vulnerabilities as they are open for everyone to see! ⚠️**

We encourage responsible disclosure practices for security vulnerabilities.

If you believe you've found a security-related bug, email `Andrew Svetlov
<mailto:andrew.svetlov+aio-libs-security@gmail.com>`_ and/or
`Pandu POLUAN <mailto:pepoluan+aiosmtpd@gmail.com>`_
instead of filing a ticket or posting to any public groups.
We'll try to assess the problem and disclose it in a responsible way.
",2021-02-23 15:09:17,[],email,7.3,10,3,10,0,-1,10,10,10,0,10,10,10,0,10,10,8,0,10,12.0,46.0,3.0,5.0,11.0,0.0,0.0,0.0,1567.0,1315.0,1543.0,6.0
airbnb/knowledge-repo,https://github.com/airbnb/knowledge-repo,1329,2995,2016-08-17,55,479,770,5480,5480,689,175,https://api.github.com/repos/airbnb/.github/contents/SECURITY.md,"
# Reporting and Fixing Security Issues

Do not open issues or pull requests - this makes the problem immediately visible to everyone, including malicious actors. Please report potential security issues in this project through the Airbnb Bug Bounty program:

[https://hackerone.com/airbnb](https://hackerone.com/airbnb)

Airbnb’s team will triage and address all valid issues. You may be eligible for a bounty if the report is valid under our program.
",2022-02-03 20:26:00,['Reporting mechanism'],external,5.2,10,8,0,0,10,10,10,10,0,10,0,-1,0,0,9,-1,0,0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,15.0,25.0,0.0
alexlancaster/pypop,https://github.com/alexlancaster/pypop,2556,4025,2013-10-22,11,152,223,22,22,15,8,https://api.github.com/repos/alexlancaster/pypop/contents/SECURITY.md,"# Security Policy

## Reporting a Vulnerability

To report a security issue, please use the GitHub Security Advisory
[""Report a Vulnerability""](https://github.com/alexlancaster/pypop/security) tab.

The PyPop team will send a response indicating the next steps in handling your report. 
After the initial reply to your report, the security team will keep you informed of progress
and fix, and may ask for additional information or guidance.
",2024-02-19 20:09:42,"['Generic policy', 'Reporting mechanism']",advisory,6.7,10,5,10,2,0,10,-1,10,0,10,10,-1,-1,10,10,0,-1,10,10.0,299.0,27.0,2.0,6.0,0.0,0.0,0.0,4961.0,2801.0,678.0,17.0
allegroai/clearml,https://github.com/allegroai/clearml,2436,1968,2019-06-10,95,273,1330,5653,5653,651,95,https://api.github.com/repos/allegroai/clearml/contents/SECURITY.md,"## Reporting Security Issues

Thanks for taking the time to make ClearML more secure!

To carry on the discussion more securely - Please send your report to [security@clear.ml](mailto:security@clear.ml).",2023-11-07 15:03:49,['Reporting mechanism'],email,5.4,10,1,0,0,1,10,10,10,0,10,10,-1,0,7,9,0,9,0,0.0,336.0,2.0,144.0,0.0,0.0,0.0,0.0,401.0,969.0,427.0,2.0
