ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.987821835540388,1.0,0.0
1.0,1.0,0.9811912826942063,1.0,0.0
1.0,0.0,0.9,1.0,0.7000000000000001
0.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,0.10912882512551061,0.8091288251255107
1.0,1.0,0.9882679916030559,1.0,0.0
1.0,1.0,0.97052383302183,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.2820926174207187,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.5101140779080224,0.0
1.0,0.0,1.0,0.0,1.0
0.0,0.0,0.9688070929486167,1.0,0.0
0.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,0.9837280785212912,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,0.0,1.0,0.0,0.7000000000000001
1.0,0.0,1.0,0.6418608066711087,0.0
0.0,1.0,1.0,0.0,0.8
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9881534171637891,1.0,0.7236931656724217
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.9
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.8
0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9,0.4,0.0
1.0,0.0,0.9228565942241141,1.0,0.9228565942241141
1.0,0.0,1.0,0.3544730143889769,0.2037377798554324
0.0,0.0,1.0,1.0,0.18131194609431078
1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.962843746343252,1.0
1.0,0.0,0.9,1.0,1.0
0.0,1.0,0.9,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,0.0
1.0,1.0,0.9,0.0,0.0
1.0,1.0,0.9,1.0,0.0
