,project_name,num_commits,project_age_days,num_issues,num_pull,num_stargazers,num_watchers,num_forks,num_subscribers,num_contributors,project_size(kB),ssf_score,ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST,ssf17_Vulnerabilities,Generic policy,Reporting mechanism,Scope of practice,User guideline
0,django/django,0.19236710639066845,0.7734263233190272,0.1344960179731267,0.20107654214662504,0.4286857124449002,0.4286857124449002,0.4273677976823376,0.3019116677653263,0.8225469728601252,0.04342174537981938,6.3,10,3,0,0,10,10,10,0,10,1,0,0,0
1,pymysql/pymysql,0.006388919654671898,0.8226037195994277,0.00839610006192664,0.005415006997523953,0.04117517570186789,0.04117517570186789,0.019152343907724197,0.03005932762030323,0.2275574112734864,0.00022812863955230862,6.7,10,3,0,10,10,10,4,10,10,0,1,0,0
2,ome/omero-web,0.07824677785096795,0.29846208869814017,0.00423405389057707,0.004080094735708903,8.590465656929016e-05,8.590465656929016e-05,0.0004037739404298847,0.0015820698747528016,0.07515657620041753,0.004340036345974598,5.8,10,0,0,0,0,0,10,10,10,0,1,0,0
3,gradio-app/gradio,0.041691198330486685,0.33941344778254645,0.06824891628382564,0.04898266767143933,0.1800185768819831,0.1800185768819831,0.03418619362306357,0.02294001318391562,0.6805845511482255,0.04562852400770209,5.4,10,1,0,10,0,10,10,0,0,1,1,0,0
4,requests/requests,0.03671297078934636,0.851931330472103,0.04695623370825353,0.027441059317472278,0.27992032343103196,0.27992032343103196,0.12551985894830348,0.17481872116018457,0.8350730688935282,0.002151843540924913,8.6,10,6,0,10,10,10,10,10,10,0,1,0,1
5,microcosm-cc/bluemonday,0.0019644762076865235,0.671137339055794,0.0014617567003182741,0.0010011841963612875,0.01715408610868013,0.01715408610868013,0.002355347985840994,0.004878048780487805,0.056367432150313146,0.00010098845326973144,5.8,10,0,0,10,0,10,0,0,10,1,1,1,0
6,scrapy/scrapy,0.06160410849504801,0.9157725321888411,0.04642337658597002,0.03687156852190763,0.28416723489017626,0.28416723489017626,0.14183232614167082,0.23388266315095582,0.7807933194154488,0.004376879039024142,5.9,10,0,0,0,0,10,10,0,10,1,1,1,0
7,wandb/wandb,0.04187190682436883,0.4529685264663805,0.06280513271022654,0.05770265905910216,0.04872941643892984,0.04872941643892984,0.009044536265629417,0.007910349373764008,0.36534446764091855,0.023182442219884098,6.4,10,0,0,10,0,10,10,8,8,1,1,0,0
8,berriai/litellm,0.1060117635400211,0.03898426323319027,0.045588087042931005,0.031101302615997417,0.07170891207121496,0.07170891207121496,0.021090458821787644,0.00949241924851681,0.674321503131524,0.04558674702540484,5.3,10,0,0,10,0,9,10,9,0,1,1,0,1
9,aio-libs/aiosmtpd,0.004820836272275236,0.498211731044349,0.0036363898209888098,0.003531058240930132,0.0017234621724213839,0.0017234621724213839,0.001292076609375631,0.0017139090309822016,0.07306889352818371,0.0002111875798018488,7.3,10,3,0,10,0,10,10,10,10,0,0,0,0
