Category,Document
Generic policy,Security Policy
Generic policy,"Security Policy - The InvenTree team take all security vulnerabilities seriously. Thank you for improving the security of our open source software.
We appreciate your efforts and responsible disclosure and will make every effort to acknowledge your contributions."
Generic policy,Security Policy
Generic policy,"Security Policy - All Pallets projects share the same security policy. See
https://palletsprojects.com/security, the canonical location for the policy,
which this is copied from."
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Generic policy,Security Policy
Generic policy,Security Policy - The Zope developer community uses the same security policy as the Plone developer community. The most up to date information about Plone security is on https://plone.org/security
Generic policy,Security Policy
Generic policy,Security policy
Generic policy,Security Policy
Generic policy,Hyperledger Security Policy
Generic policy,"Security Policy - This security policy applies to all projects under the [open-telemetry organization][gh-organization] on GitHub. Security reports involving specific projects should still be reported following the instructions on this document: the report will be shared by the technical committee to the project leads, who might not all have access to the private key required to decrypt your message."
Generic policy,"Security Policy - If you are deploying Ray, read [Security](doc/source/ray-security/index.md)."
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Generic policy,pycsw Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,"Security - Microsoft takes the security of our software products and services seriously, which includes all source code repositories managed through our GitHub organizations, which include [Microsoft](https://github.com/Microsoft), [Azure](https://github.com/Azure), [DotNet](https://github.com/dotnet), [AspNet](https://github.com/aspnet), [Xamarin](https://github.com/xamarin), and [our GitHub organizations](https://opensource.microsoft.com/).

If you believe you have found a security vulnerability in any Microsoft-owned repository that meets [Microsoft's definition of a security vulnerability](https://docs.microsoft.com/en-us/previous-versions/tn-archive/cc751383(v=technet.10)), please report it to us as described below."
Generic policy,Security Policy
Generic policy,Hyperledger Security Policy
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy - The Zope developer community uses the same security policy as the Plone developer community. The most up to date information about Plone security is on https://plone.org/security
Generic policy,Security Policy
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Generic policy,Security - <!-- BEGIN MICROSOFT SECURITY.MD V0.0.7 BLOCK -->
Generic policy,Security Policy
Generic policy,"Using TensorFlow Securely - This document discusses the TensorFlow security model. It describes the security
risks to consider when using models, checkpoints or input data for training or
serving. We also provide guidelines on what constitutes a vulnerability in
TensorFlow and how to report them.

This document applies to other repositories in the TensorFlow organization,
covering security practices for the entirety of the TensorFlow ecosystem."
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,"Security Policy - <!--
  ~ Licensed to the Apache Software Foundation (ASF) under one
  ~ or more contributor license agreements.  See the NOTICE file
  ~ distributed with this work for additional information
  ~ regarding copyright ownership.  The ASF licenses this file
  ~ to you under the Apache License, Version 2.0 (the
  ~ ""License""); you may not use this file except in compliance
  ~ with the License.  You may obtain a copy of the License at
  ~
  ~   http://www.apache.org/licenses/LICENSE-2.0
  ~
  ~ Unless required by applicable law or agreed to in writing,
  ~ software distributed under the License is distributed on an
  ~ ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
  ~ KIND, either express or implied.  See the License for the
  ~ specific language governing permissions and limitations
  ~ under the License.
  ~
-->"
Generic policy,Security Policy
Generic policy,"Security Policy - If you believe you have identified a security issue with a Pallets-Eco project,
**do not open a public issue**. To responsibly report a security issue, use
GitHub's [security advisory system][gh-docs]. From the project's repository,
click ""Security"" at the top, then click ""Advisories"" at the left, then click the
green ""New draft security advisory"" button. Alternatively, you may email
[security@palletsprojects.com](mailto:security@palletsprojects.com), and we will
convert that to a GitHub security advisory.

Be sure to include as much detail as necessary in your report. As with reporting
normal issues, a minimal reproducible example will help the maintainers address
the issue faster. Information about why the issue is a security issue is also
helpful. If you are able, you may also provide a fix for the issue.

A maintainer will reply acknowledging the report and how to continue. We will
obtain a CVE id as well, please do not do this on your own. We will work with
you to attempt to understand the issue and decide on its validity. Maintainers
are volunteers working in their free time, and therefore cannot guarantee any
specific timeline. Please be patient during this process.

The current feature release will receive security fixes. Fixes to older versions
may be considered based on usage information and severity, but are not
guaranteed. After fixing an issue, we will make a new release.

[gh-docs]: https://docs.github.com/en/code-security/security-advisories/working-with-repository-security-advisories/creating-a-repository-security-advisory"
Generic policy,"Security Policy - All Pallets projects share the same security policy. See
https://palletsprojects.com/security, the canonical location for the policy,
which this is copied from."
Generic policy,"Security Policy - - [**Reporting a Vulnerability**](#reporting-a-vulnerability)
 - [**Using Pytorch Securely**](#using-pytorch-securely)
   - [Untrusted models](#untrusted-models)
   - [Untrusted inputs](#untrusted-inputs)
   - [Data privacy](#data-privacy)
   - [Using distributed features](#using-distributed-features)
- [**CI/CD security principles**](#cicd-security-principles)"
Generic policy,"Security Policy - - [**Reporting a Vulnerability**](#reporting-a-vulnerability)
 - [**Using Pytorch Securely**](#using-pytorch-securely)
   - [Untrusted models](#untrusted-models)
   - [Untrusted inputs](#untrusted-inputs)
   - [Data privacy](#data-privacy)
   - [Using distributed features](#using-distributed-features)
- [**CI/CD security principles**](#cicd-security-principles)"
Generic policy,"Security Policy - All Pallets projects share the same security policy. See
https://palletsprojects.com/security, the canonical location for the policy,
which this is copied from."
Generic policy,"Security Policy - - [**Reporting a Vulnerability**](#reporting-a-vulnerability)
 - [**Using Pytorch Securely**](#using-pytorch-securely)
   - [Untrusted models](#untrusted-models)
   - [Untrusted inputs](#untrusted-inputs)
   - [Data privacy](#data-privacy)
   - [Using distributed features](#using-distributed-features)
- [**CI/CD security principles**](#cicd-security-principles)"
Generic policy,"Security Policy - Before reporting a vulnerability, please review In-Scope Targets and Out-of-Scope Targets below."
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,"Security Policy - Before reporting a vulnerability, please review In-Scope Targets and Out-of-Scope Targets below."
Generic policy,Security Policy
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,"Security Policy - All Pallets projects share the same security policy. See
https://palletsprojects.com/security, the canonical location for the policy,
which this is copied from."
Generic policy,Security Policy - OctoPrint's security policy can be found [here](https://octoprint.org/security/).
Generic policy,Security Policy
Generic policy,"Security - Microsoft takes the security of our software products and services seriously, which includes all source code repositories managed through our GitHub organizations, which include [Microsoft](https://github.com/Microsoft), [Azure](https://github.com/Azure), [DotNet](https://github.com/dotnet), [AspNet](https://github.com/aspnet), [Xamarin](https://github.com/xamarin), and [our GitHub organizations](https://opensource.microsoft.com/).

If you believe you have found a security vulnerability in any Microsoft-owned repository that meets [Microsoft's definition of a security vulnerability](https://docs.microsoft.com/en-us/previous-versions/tn-archive/cc751383(v=technet.10)), please report it to us as described below."
Generic policy,Security Policy
Generic policy,Security Policy
Generic policy,Security Policy
