project_name,project_url,num_commits,project_age_days,project_created_at,num_contributors,num_pull,num_issues,num_stargazers,num_watchers,num_forks,num_subscribers,Aggregate-Score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,num_bug_high,num_bug_medium,num_bug_low,num_bug_blocker,num_vulnerabilities_high,num_vulnerabilities_medium,num_vulnerabilities_low,num_vulnerabilities_blocker,num_code_smell_high,num_code_smell_medium,num_code_smell_low,num_code_smell_blocker
abersheeran/rpc.py,https://github.com/abersheeran/rpc.py,132,1571,2020-07-11,3,11,21,192,192,12,8,3.6,10,0,0,0,0,10,10,10,0,10,0,-1,0,0,0,-1,0,5,0,9,0,0,0,0,0,0,100,50,69,0
abetlen/llama-cpp-python,https://github.com/abetlen/llama-cpp-python,1922,586,2023-03-23,156,471,1590,8014,8014,951,73,5.1,10,0,10,0,1,10,10,10,0,10,10,10,0,0,0,0,0,10,2,4,2,1,0,0,0,0,187,205,315,10
adamghill/django-unicorn,https://github.com/adamghill/django-unicorn,1032,1571,2020-07-11,31,293,576,2372,2372,119,25,2.6,10,0,5,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,89,57,56,0
adaptivescale/lxdui,https://github.com/adaptivescale/lxdui,842,2601,2017-09-15,26,286,386,725,725,155,37,3.4,10,0,0,0,7,10,-1,10,0,10,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,3,4,1,0
admesh/admesh,https://github.com/admesh/admesh,128,4027,2013-10-20,20,31,64,214,214,76,28,3.8,10,6,0,0,4,10,10,0,0,10,0,-1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,1,5,0
agprojects/python-cjson,https://github.com/agprojects/python-cjson,84,3221,2016-01-04,3,4,11,44,44,28,9,2.9,10,0,-1,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,1,4,1,0,0,0,0,0,60,68,47,9
agronholm/cbor2,https://github.com/agronholm/cbor2,454,3065,2016-06-08,28,141,247,222,222,58,11,4.9,10,0,10,0,2,10,10,0,10,10,5,10,0,1,0,-1,0,10,0,11,3,12,1,0,0,2,1002,378,447,5
aimhubio/aim,https://github.com/aimhubio/aim,2213,1978,2019-05-31,76,2189,3214,5196,5196,319,46,5.1,10,6,1,0,7,10,10,10,0,10,9,-1,0,0,0,-1,0,0,0,8,2,1,0,0,0,0,32,75,72,0
ajenti/ajenti,https://github.com/ajenti/ajenti,1308,5354,2010-03-03,23,295,1480,7546,7546,843,260,5.2,10,3,8,0,1,10,10,10,0,10,9,-1,0,9,0,-1,0,3,1,1,0,0,0,0,0,0,43,70,24,0
allegro/bigflow,https://github.com/allegro/bigflow,988,1923,2019-07-25,22,295,381,116,116,23,10,4.5,10,8,3,0,7,10,10,10,0,9,0,-1,0,0,0,-1,0,0,0,4,0,0,0,0,0,0,19,11,8,0
anibali/pywebp,https://github.com/anibali/pywebp,114,2700,2017-06-08,4,24,66,73,73,24,6,3.0,10,0,6,0,1,3,10,10,0,10,0,-1,0,0,0,0,0,0,1,15,0,1,0,0,0,0,129,55,86,0
anorov/cloudflare-scrape,https://github.com/anorov/cloudflare-scrape,156,4261,2013-02-28,19,63,460,3382,3382,459,129,1.6,10,0,0,0,2,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,1,4,0
ansible/galaxy-importer,https://github.com/ansible/galaxy-importer,309,1960,2019-06-18,26,303,303,26,26,46,11,6.2,10,8,10,0,10,10,10,0,0,10,10,10,0,4,0,-1,0,10,8,60,10,11,14,0,0,4,1946,1447,2215,78
anthraxx/diffoscope,https://github.com/anthraxx/diffoscope,1250,3263,2015-11-23,25,1,1,74,74,4,3,1.9,0,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,3,296,0,0,0,0,0,0,837,71483,47154,4516
antonkueltz/fastecdsa,https://github.com/antonkueltz/fastecdsa,332,3141,2016-03-24,14,25,94,268,268,78,12,2.6,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,5,13,8,2,13,0,0,0,628,684,4157,28
anymail/django-anymail,https://github.com/anymail/django-anymail,910,3156,2016-03-10,60,153,380,1695,1695,130,22,4.7,10,3,10,0,0,10,10,0,0,10,10,-1,1,8,0,0,0,10,5,2,0,0,0,0,0,0,40,30,39,0
apple/ccs-pykerberos,https://github.com/apple/ccs-pykerberos,174,3009,2016-08-04,8,23,98,117,117,65,17,2.7,10,0,0,0,0,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10,0,0,2,1,2,0,0,0,69,30,67,0
arachnys/cabot,https://github.com/arachnys/cabot,735,3949,2014-01-06,51,270,718,5596,5596,592,149,2.1,10,0,0,2,4,10,-1,0,0,10,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,4,9,5,0
archesproject/arches,https://github.com/archesproject/arches,27019,3214,2016-01-11,59,5974,11515,215,215,144,38,5.5,10,5,10,0,10,10,10,10,0,10,10,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,7,6,0
aresch/rencode,https://github.com/aresch/rencode,84,3658,2014-10-24,5,11,30,29,29,7,5,2.9,10,0,0,0,2,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,0,0,0,0,3,0,0,1,13,12,1,0
arjunsharda/passeo,https://github.com/arjunsharda/passeo,121,726,2022-11-03,1,7,11,2,2,0,1,4.6,10,6,0,0,0,10,10,0,0,10,0,-1,1,0,0,-1,10,10,0,0,0,0,0,0,0,0,0,0,0,0
arrayfire/arrayfire-rust,https://github.com/arrayfire/arrayfire-rust,467,3452,2015-05-18,32,141,329,814,814,57,21,4.2,10,8,0,0,4,10,10,0,0,10,0,-1,0,0,0,-1,0,10,0,0,0,0,0,0,0,1,23,22,15,0
aubio/aubio,https://github.com/aubio/aubio,4161,5443,2009-12-04,18,66,411,3304,3304,379,84,3.6,10,6,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,2,132,1,18,5,0,0,2,475,2384,1839,17
backblaze/b2-sdk-python,https://github.com/backblaze/b2-sdk-python,3452,2101,2019-01-28,83,384,516,181,181,61,29,5.1,10,0,8,0,2,10,10,10,0,9,10,10,0,0,0,0,0,10,5,28,2,2,0,0,0,0,93,76,103,2
backblaze/b2_command_line_tool,https://github.com/backblaze/b2_command_line_tool,2838,3270,2015-11-16,71,598,1052,543,543,124,41,4.9,10,0,8,0,0,10,10,10,0,9,10,10,0,0,0,0,0,9,0,1,2,0,0,0,0,0,71,86,113,1
bandoche/pypinksign,https://github.com/bandoche/pypinksign,157,3445,2015-05-25,5,11,30,99,99,29,12,3.7,10,3,0,0,0,6,-1,10,0,10,0,-1,-1,0,0,0,-1,10,20,29,14,5,119,0,0,0,535,759,2521,8
bbangert/beaker,https://github.com/bbangert/beaker,825,4762,2011-10-16,69,111,245,524,524,143,24,3.5,10,0,0,0,4,10,10,0,0,9,0,-1,0,0,0,-1,0,10,0,0,2,0,0,0,0,0,62,46,25,0
bbengfort/confire,https://github.com/bbengfort/confire,65,3754,2014-07-20,6,6,25,36,36,10,6,2.3,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,5,0,0,0,1,0,0,0,0,1,4,4,0
beancount/fava,https://github.com/beancount/fava,3159,3252,2015-12-04,97,934,1885,1961,1961,286,30,5.3,9,3,10,0,0,10,10,10,0,10,10,-1,0,0,0,-1,0,10,2,58,19,8,0,0,0,0,399,1624,999,1
belangeo/pyo,https://github.com/belangeo/pyo,2323,3353,2015-08-25,17,43,284,1320,1320,132,67,3.1,10,0,0,0,0,6,10,0,0,10,0,-1,0,0,0,-1,0,10,0,1,1,0,0,0,0,0,24,16,34,0
benbusby/whoogle-search,https://github.com/benbusby/whoogle-search,823,1743,2020-01-21,124,356,1074,9531,9531,938,97,5.5,10,0,10,0,5,6,10,10,0,10,10,10,0,0,0,-1,0,8,2,346,13,0,0,0,0,1,96,98,60,49
benoitc/restkit,https://github.com/benoitc/restkit,931,5381,2010-02-04,19,31,148,405,405,72,15,3.0,10,0,0,0,2,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,0,0,0,0,8,0,0,0,31,17,42,0
bhch/django-jsonform,https://github.com/bhch/django-jsonform,307,1158,2021-08-28,15,19,161,351,351,34,5,3.9,10,0,8,0,2,0,10,0,0,10,10,-1,0,0,0,0,0,10,36,130,5,11,4,0,0,0,5211,2885,1532,27
blackducksoftware/hub-rest-api-python,https://github.com/blackducksoftware/hub-rest-api-python,870,2304,2018-07-09,39,196,278,89,89,106,24,6.6,10,6,10,0,2,10,10,10,0,10,6,-1,0,10,0,-1,9,9,0,0,0,0,0,0,0,0,5,6,1,0
blakeblackshear/frigate,https://github.com/blakeblackshear/frigate,3455,2103,2019-01-26,244,3895,9142,18918,18918,1721,188,6.3,10,6,10,0,10,10,10,10,0,10,10,10,1,8,0,-1,0,0,0,10,2,0,0,0,0,0,48,75,61,0
blue-yonder/postgraas_server,https://github.com/blue-yonder/postgraas_server,163,3039,2016-07-04,5,22,37,29,29,8,20,3.4,10,3,0,0,3,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,0,8,6,1,0
bndr/pipreqs,https://github.com/bndr/pipreqs,363,3478,2015-04-22,56,184,464,6603,6603,394,57,4.2,10,0,8,0,7,10,10,10,0,10,0,-1,0,0,0,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bottlepy/bottle,https://github.com/bottlepy/bottle,1951,5600,2009-06-30,182,607,1448,8437,8437,1467,309,4.0,10,0,2,0,2,10,10,0,0,10,10,-1,0,0,0,0,0,10,0,2,0,2,0,0,0,0,7,2,0,0
bram85/topydo,https://github.com/bram85/topydo,1446,3663,2014-10-19,11,142,326,784,784,92,28,3.0,10,0,0,0,1,6,10,0,0,10,0,-1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1,0,2,0
